gaia_index,group,fold,rcl_pred_service,rcl_correct,rcl_agreement,dominant_modality,status,latency_sec
8796,B_trace_agree_wrong,1,mobservice1,False,contradict,trace,ok,2.341167688369751
6299,B_trace_agree_wrong,0,mobservice1,False,support,trace,ok,1.659876823425293
14187,B_trace_agree_wrong,0,mobservice1,False,support,trace,ok,1.9811339378356934
4093,B_trace_agree_wrong,1,mobservice1,False,support,trace,ok,1.929971694946289
7095,B_trace_agree_wrong,0,mobservice1,False,support,trace,ok,2.028432846069336
783,B_trace_agree_wrong,0,mobservice1,False,support,trace,ok,2.0701353549957275
6589,B_trace_agree_wrong,0,mobservice1,False,support,trace,ok,2.1644885540008545
13158,B_trace_agree_wrong,0,mobservice1,False,support,trace,ok,2.114185094833374
13292,B_trace_agree_wrong,0,mobservice1,False,support,trace,ok,2.032092332839966
11733,B_trace_agree_wrong,2,webservice2,False,support,trace,ok,1.8879032135009766
6780,B_trace_agree_wrong,0,mobservice1,False,support,trace,ok,1.6344292163848877
7061,B_trace_agree_wrong,1,mobservice1,False,support,trace,ok,2.1682488918304443
8538,B_trace_agree_wrong,3,mobservice2,False,support,trace,ok,1.7626957893371582
10642,B_trace_agree_wrong,0,mobservice1,False,support,metric,ok,1.6641461849212646
14306,B_trace_agree_wrong,0,mobservice1,False,support,trace,ok,2.208641767501831
14629,C_trace_disagree_correct,2,mobservice1,True,support,trace,ok,1.9441554546356201
2254,C_trace_disagree_correct,2,mobservice1,True,support,trace,ok,1.688784122467041
4233,C_trace_disagree_correct,1,mobservice2,True,contradict,trace,ok,2.3215503692626953
4234,C_trace_disagree_correct,1,mobservice2,True,contradict,trace,ok,2.3103320598602295
9944,C_trace_disagree_correct,2,mobservice2,True,unclear,trace,ok,2.0232667922973633
7696,C_trace_disagree_correct,1,mobservice2,True,contradict,trace,ok,2.266427516937256
14469,C_trace_disagree_correct,1,mobservice2,True,contradict,trace,ok,1.795076608657837
11032,C_trace_disagree_correct,2,mobservice1,True,support,trace,ok,1.8478951454162598
11908,C_trace_disagree_correct,1,mobservice2,True,contradict,trace,ok,2.291616439819336
1235,C_trace_disagree_correct,2,mobservice1,True,support,trace,ok,1.9885015487670898
2081,C_trace_disagree_correct,2,mobservice2,True,support,trace,ok,2.080901622772217
7772,C_trace_disagree_correct,2,mobservice2,True,support,trace,ok,2.1803224086761475
16126,C_trace_disagree_correct,2,mobservice1,True,contradict,trace,ok,1.9862282276153564
982,C_trace_disagree_correct,1,mobservice2,True,contradict,trace,ok,2.3904879093170166
14496,C_trace_disagree_correct,2,mobservice1,True,support,trace,ok,1.9314157962799072
14472,C_trace_disagree_correct,2,mobservice2,True,support,trace,ok,2.3471906185150146
4720,C_trace_disagree_correct,1,mobservice2,True,unclear,trace,ok,2.568986177444458
3823,C_trace_disagree_correct,2,mobservice2,True,support,trace,ok,1.9545307159423828
3404,C_trace_disagree_correct,1,mobservice2,True,unclear,trace,ok,2.2416412830352783
7883,C_trace_disagree_correct,2,mobservice2,True,support,trace,ok,2.130481481552124
289,C_trace_disagree_correct,2,mobservice2,True,support,trace,ok,2.2450778484344482
8023,C_trace_disagree_correct,0,mobservice1,True,support,trace,ok,1.859330654144287
4989,C_trace_disagree_correct,0,mobservice1,True,support,trace,ok,1.9924235343933105
1651,C_trace_disagree_correct,2,mobservice2,True,support,trace,ok,2.0195226669311523
14895,C_trace_disagree_correct,1,mobservice2,True,contradict,trace,ok,2.213047981262207
9012,C_trace_disagree_correct,1,mobservice2,True,contradict,trace,ok,2.3727762699127197
929,C_trace_disagree_correct,1,mobservice2,True,contradict,trace,ok,2.1938700675964355
7115,C_trace_disagree_correct,1,mobservice2,True,contradict,trace,ok,2.22550368309021
10144,C_trace_disagree_correct,1,mobservice2,True,unclear,trace,ok,2.7069857120513916
3921,C_trace_disagree_correct,2,mobservice1,True,unclear,trace,ok,2.1981401443481445
15124,C_trace_disagree_correct,1,mobservice2,True,unclear,trace,ok,2.499438524246216
8599,C_trace_disagree_correct,0,mobservice1,True,support,trace,ok,2.063906669616699
1443,C_trace_disagree_correct,1,mobservice2,True,unclear,trace,ok,2.628035306930542
937,C_trace_disagree_correct,2,mobservice2,True,support,trace,ok,2.378450632095337
1424,C_trace_disagree_correct,1,mobservice2,True,contradict,trace,ok,2.157101631164551
930,C_trace_disagree_correct,1,mobservice2,True,contradict,trace,ok,2.459158420562744
2012,C_trace_disagree_correct,1,mobservice2,True,contradict,trace,ok,2.178079128265381
15578,C_trace_disagree_correct,2,mobservice2,True,support,trace,ok,1.9378561973571777
980,C_trace_disagree_correct,1,mobservice2,True,contradict,trace,ok,2.3282358646392822
3358,C_trace_disagree_correct,2,webservice1,True,unclear,trace,ok,2.368842840194702
4104,D_log_dominates,1,redisservice1,False,unclear,trace,ok,2.715266227722168
9644,D_log_dominates,1,mobservice2,False,unclear,trace,ok,2.0053176879882812
1542,D_log_dominates,1,mobservice2,True,contradict,log,ok,2.0989675521850586
14551,D_log_dominates,1,mobservice2,False,unclear,trace,ok,2.073288917541504
11500,D_log_dominates,1,mobservice2,False,contradict,trace,ok,1.6122362613677979
9208,D_log_dominates,1,mobservice2,False,contradict,trace,ok,1.9359266757965088
741,D_log_dominates,1,mobservice2,False,unclear,trace,ok,2.4022722244262695
7704,D_log_dominates,1,mobservice2,True,contradict,trace,ok,2.187556266784668
15036,D_log_dominates,1,mobservice2,True,unclear,trace,ok,1.9582617282867432
9206,D_log_dominates,1,mobservice2,False,unclear,trace,ok,2.22745418548584
15332,D_log_dominates,1,mobservice2,False,unclear,trace,ok,2.194220542907715
10099,D_log_dominates,1,mobservice2,True,support,trace,ok,1.854663610458374
15035,D_log_dominates,1,mobservice2,True,support,trace,ok,1.89479660987854
1288,D_log_dominates,1,mobservice2,False,contradict,trace,ok,2.0495307445526123
14207,D_log_dominates,1,redisservice2,False,unclear,trace,ok,1.7855188846588135
9008,D_log_dominates,1,mobservice2,True,unclear,none,ok,2.5084948539733887
3178,D_log_dominates,1,mobservice2,False,contradict,log,ok,2.0138442516326904
6895,D_log_dominates,1,mobservice2,False,contradict,trace,ok,2.118356227874756
15461,D_log_dominates,1,webservice2,True,support,log,ok,1.6781129837036133
7629,D_log_dominates,1,mobservice2,True,support,trace,ok,1.8205320835113525
5540,D_log_dominates,1,webservice1,True,unclear,log,ok,1.8054852485656738
2640,D_log_dominates,1,mobservice2,True,contradict,log,ok,2.155430793762207
8871,D_log_dominates,4,mobservice1,False,contradict,trace,ok,2.1060619354248047
9491,D_log_dominates,1,mobservice2,True,contradict,trace,ok,2.2412328720092773
6070,D_log_dominates,1,webservice1,False,unclear,log,ok,2.332390785217285
4052,D_log_dominates,3,mobservice2,False,unclear,trace,ok,2.8412253856658936
9345,D_log_dominates,3,mobservice2,True,unclear,trace,ok,1.8971023559570312
7450,D_log_dominates,4,mobservice1,True,contradict,log,ok,2.475588321685791
7155,D_log_dominates,4,mobservice1,False,support,trace,ok,2.031970262527466
13304,D_log_dominates,4,mobservice1,True,support,trace,ok,1.957916021347046
3832,D_log_dominates,3,mobservice2,True,support,trace,ok,2.147568702697754
7400,D_log_dominates,4,mobservice1,True,support,trace,ok,2.230458974838257
7385,D_log_dominates,4,mobservice1,True,support,trace,ok,1.9603660106658936
1777,D_log_dominates,1,mobservice1,True,support,trace,ok,2.220674991607666
615,D_log_dominates,4,mobservice1,True,contradict,log,ok,2.050112009048462
12848,D_log_dominates,4,mobservice1,True,contradict,trace,ok,2.2237541675567627
11960,D_log_dominates,4,mobservice2,True,contradict,trace,ok,2.125182867050171
4456,D_log_dominates,4,mobservice1,True,contradict,log,ok,1.6934385299682617
4832,D_log_dominates,4,mobservice1,True,support,trace,ok,1.9973704814910889
13678,D_log_dominates,4,mobservice1,False,contradict,trace,ok,2.135396957397461
12460,E_random,3,mobservice2,True,support,trace,ok,2.0447866916656494
11799,E_random,1,mobservice2,True,contradict,trace,ok,2.2429566383361816
15229,E_random,1,mobservice2,False,unclear,trace,ok,2.0218899250030518
10478,E_random,3,redisservice2,False,unclear,trace,ok,2.26204514503479
2662,E_random,4,mobservice1,False,contradict,log,ok,2.152391195297241
4998,E_random,0,mobservice1,True,support,trace,ok,1.9452142715454102
3583,E_random,4,mobservice1,True,contradict,log,ok,2.8002257347106934
1106,E_random,3,mobservice1,True,contradict,trace,ok,1.9697730541229248
6183,E_random,0,mobservice2,True,support,trace,ok,2.0739450454711914
1545,E_random,0,mobservice2,True,support,trace,ok,1.7863874435424805
13952,E_random,1,mobservice1,True,support,trace,ok,1.9979579448699951
12191,E_random,2,mobservice2,False,unclear,trace,ok,2.554694414138794
10416,E_random,1,mobservice2,False,unclear,trace,ok,2.288121223449707
6224,E_random,3,mobservice2,True,support,trace,ok,2.1562347412109375
15083,E_random,0,mobservice2,True,unclear,trace,ok,2.242259979248047
11661,E_random,4,mobservice1,True,support,trace,ok,1.7365334033966064
3718,E_random,1,mobservice2,False,unclear,metric,ok,2.0132205486297607
1644,E_random,4,mobservice1,False,unclear,trace,ok,2.033066749572754
9240,E_random,4,mobservice1,True,support,trace,ok,1.8700339794158936
9925,E_random,4,mobservice1,False,unclear,none,ok,2.323012590408325
5039,E_random,2,dbservice1,True,support,metric,ok,1.622692584991455
9058,E_random,2,mobservice2,False,unclear,trace,ok,2.05958890914917
8089,E_random,1,mobservice2,False,unclear,trace,ok,2.055023431777954
12912,E_random,3,mobservice2,False,support,trace,ok,2.148345470428467
3157,E_random,1,mobservice2,False,unclear,metric,ok,2.0105345249176025
15150,E_random,0,mobservice2,True,unclear,trace,ok,1.9969589710235596
4107,E_random,1,redisservice2,False,support,metric,ok,1.9591679573059082
15462,E_random,3,webservice1,False,contradict,trace,ok,2.436434030532837
8575,E_random,3,mobservice2,False,unclear,none,ok,2.2307162284851074
1495,E_random,0,mobservice2,True,unclear,trace,ok,2.422133207321167
15754,E_random,4,mobservice1,False,support,trace,ok,1.8953220844268799
6394,E_random,2,mobservice2,False,unclear,none,ok,2.2916793823242188
13105,E_random,4,mobservice1,False,unclear,none,ok,2.3605642318725586
2635,E_random,2,mobservice2,True,unclear,log,ok,1.9101104736328125
10540,E_random,2,mobservice2,True,support,trace,ok,1.9635980129241943
5569,E_random,1,mobservice2,True,unclear,metric,ok,1.913435697555542
9316,E_random,3,mobservice2,True,support,trace,ok,2.0758614540100098
5266,E_random,2,mobservice2,True,support,trace,ok,2.188692331314087
11406,E_random,0,mobservice1,True,support,trace,ok,2.2111446857452393
13906,E_random,3,mobservice1,True,contradict,trace,ok,1.9607822895050049
